cost_bps,months,cagr,cumulative_return,ir,sharpe,alpha_annual,alpha_t,beta,beta_se,max_drawdown,hit_rate,mean_traded_nav,mean_gross,min_net,max_net,max_weight,missing_positions,mean_missing_gross,max_missing_gross,model
0,68,0.08853291219498027,0.6172191162111595,0.16789723527348532,0.5424588553317975,0.0707715716631451,1.3443166243438225,-0.12177184983375458,0.0789860988238251,-0.1397050736326828,0.5882352941176471,1.0543266224406578,2.0,-0.21552556948789126,0.15121963995200682,0.022155255694881512,61,0.016258715353984217,0.08036936688337722,ols
10,68,0.07490167269749581,0.5057614906843868,0.04928300757207513,0.42325141860521237,0.058092072163609815,1.1011167695419517,-0.12157408207379022,0.079042383957509,-0.14512532487775864,0.5882352941176471,1.0548869751343708,2.0,-0.21552556948789126,0.15121963995200682,0.022155255694881512,61,0.016258715353984217,0.08036936688337722,ols
20,68,0.06141209841108641,0.4017681574622125,-0.0690807994916296,0.30428260697454146,0.045398928215494995,0.8586508581772765,-0.12137617252125116,0.07910304776150638,-0.16166428214492867,0.5441176470588235,1.0554548707885825,2.0,-0.21552556948789126,0.15121963995200682,0.022155255694881512,61,0.016258715353984217,0.08036936688337722,ols
30,68,0.04806275001926208,0.30475194265143024,-0.18718529496341402,0.185561525568714,0.032691822341727426,0.6169436627525869,-0.12117799112447397,0.07916804562521408,-0.17864270455212117,0.5,1.056031204285689,2.0,-0.21552556948789126,0.15121963995200682,0.022155255694881512,61,0.016258715353984217,0.08036936688337722,ols
50,68,0.021779249239767706,0.1298569081607983,-0.42258020740231245,-0.05110052471879054,0.007234690906905704,0.13590657493198502,-0.12078086162564547,0.07931090158687533,-0.21169402164744644,0.5,1.0572062516435619,2.0,-0.21552556948789126,0.15121963995200682,0.022155255694881512,61,0.016258715353984217,0.08036936688337722,ols
0,68,0.19545842776633182,1.7501858443557898,0.7948319091077221,1.066528750204456,0.1649517329446641,2.034860065268816,-0.0752376793837429,0.14806369448525333,-0.12982290230783888,0.6029411764705882,0.9828955270664821,2.0,-0.30000000000000004,0.17193451441199747,0.022729862551399485,54,0.013747857270680985,0.059435102600964254,ridge
10,68,0.18157944878209653,1.5740872445923704,0.7133077586965245,0.9844830016793171,0.15311560407690453,1.8815259684809433,-0.07489725290278143,0.14839953947330242,-0.14687609874086271,0.5735294117647058,0.983352404251139,2.0,-0.30000000000000004,0.17193451441199747,0.022729862551399485,54,0.013747857270680985,0.059435102600964254,ridge
20,68,0.16783424961819815,1.4089447783739986,0.6319933604628674,0.9026371828285611,0.1412683022855144,1.7291496683550258,-0.07455606945818516,0.1487379219658114,-0.16363481830146276,0.5735294117647058,0.9838146166373724,2.0,-0.30000000000000004,0.17193451441199747,0.022729862551399485,54,0.013747857270680985,0.059435102600964254,ridge
30,68,0.15422161218969532,1.2540946310324328,0.5508967993059084,0.8209995146438206,0.12940963723835797,1.5777413754830936,-0.07421420043228023,0.14907883840473538,-0.18010355556921498,0.5588235294117647,0.9842823251300135,2.0,-0.30000000000000004,0.17193451441199747,0.022729862551399485,54,0.013747857270680985,0.059435102600964254,ridge
50,68,0.1273892639537102,0.9728106492223834,0.38938909628508156,0.6583810544217722,0.10565752678815263,1.2778678543711133,-0.07352896946750531,0.14976819247725195,-0.21305099519953663,0.5294117647058824,0.9852335405783762,2.0,-0.30000000000000004,0.17193451441199747,0.022729862551399485,54,0.013747857270680985,0.059435102600964254,ridge
0,68,0.06417319974096447,0.42255739830391725,-0.11319295250358398,0.4531431019175167,0.030395126722721225,0.9788404819462587,0.015268149995876137,0.056404607300094986,-0.0832754310031123,0.45588235294117646,0.9555375720264823,2.0,-0.25027848133426844,0.14786187388895644,0.022502784813342686,56,0.014314347122845907,0.07790939051623515,lasso
10,68,0.052080081778350884,0.33334701070753936,-0.2749788716495952,0.2900168137577794,0.01905283411484441,0.6153220030599363,0.014029419019017556,0.056618101175721705,-0.09084082844444352,0.45588235294117646,0.9560770190176278,2.0,-0.25027848133426844,0.14786187388895644,0.022502784813342686,56,0.014314347122845907,0.07790939051623515,lasso
