target_month,permno,ticker,company_name,weight,raw_forward,model
2025-05,21600,,,-0.01864883769683312,,ols
2025-06,91080,HEES,H & E EQUIPMENT SERVICES INC,0.02131698003780779,,ols
2025-08,21589,,,0.020988557529149403,,ols
2025-08,79866,,,0.020988557529149403,,ols
2025-08,84041,,,0.020988557529149403,,ols
2025-08,83621,,,-0.010122440491987019,,ols
2025-09,19502,,,0.019898810471503603,,ols
2025-12,21120,,,0.021299448134957738,,ols
2025-12,14169,,,0.021299448134957738,,ols
2026-01,85796,,,0.021383068433634675,,ols
2026-01,24248,,,0.021383068433634675,,ols
2026-03,90029,,,0.02129599687886526,,ols
2026-04,88863,,,0.021388004262556215,,ols
2026-07,92220,,,0.01935127312865949,,ols
2026-07,93035,,,0.01935127312865949,,ols
2026-07,15285,,,-0.020648726871348867,,ols
2026-08,14941,,,0.019425002774588605,,ols
2021-01,12914,,,0.016499874325471186,,ridge
2021-01,13957,,,0.016499874325471186,,ridge
2021-02,16579,,,0.014736292172938792,,ridge
2021-03,87379,,,0.016177532599987113,,ridge
2021-03,14244,,,0.016177532599987113,,ridge
2021-05,87066,,,0.016810007766363575,,ridge
2021-06,83720,,,0.010005386642015147,,ridge
2021-08,83111,,,0.012174738768250681,,ridge
2021-09,83422,,,0.017876498903716703,,ridge
2021-11,18787,,,-0.017475945958906357,,ridge
2022-02,92506,GTS,TRIPLE S MANAGEMENT CORP,0.01643004231085712,,ridge
2022-04,16158,,,0.01688387692161596,,ridge
2022-07,10909,,,0.01703701311369601,,ridge
2022-08,11343,,,0.016816340409360885,,ridge
2022-08,15921,,,-0.018474300414638982,,ridge
2022-10,18771,CHNG,CHANGE HEALTHCARE INC,-0.01694136251495599,,ridge
2022-12,19461,AKUS,AKOUOS INC,-0.019572408236714935,,ridge
2023-01,75107,,,0.018508747821326228,,ridge
2023-02,20899,KNBE,KNOWBE4 INC,0.0171938643238353,,ridge
2023-03,12437,RFP,RESOLUTE FOREST PRODUCTS INC,0.019943511373815625,,ridge
2023-04,18736,,,-0.006240709125481096,,ridge
2023-09,13537,,,0.021671906478956053,,ridge
2023-11,21967,,,0.019790465326898574,,ridge
2023-12,82542,,,0.021505109483049418,,ridge
2024-02,14054,,,0.021306596625523144,,ridge
2024-03,75860,,,0.010923961988722348,,ridge
2024-04,16597,,,0.018743529226595584,,ridge
2024-06,19639,,,0.02130317715699189,,ridge
2024-07,22115,,,0.018285690809650333,,ridge
2024-10,18566,,,0.01893573783717671,,ridge
2024-12,15069,,,0.016928202536260036,,ridge
2024-12,20834,LBPH,LONGBOARD PHARMACEUTICALS INC,-0.01874442348902245,,ridge
2025-04,19659,PTVE,PACTIV EVERGREEN INC,0.01989995792803203,,ridge
2025-05,78034,,,0.019962342486162056,,ridge
2025-05,90716,,,0.019962342486162056,,ridge
2025-06,91080,HEES,H & E EQUIPMENT SERVICES INC,0.019976209597381566,,ridge
2025-07,90885,EVRI,EVERI HOLDINGS INC,0.019983195747821893,,ridge
2025-07,16829,RDFN,REDFIN CORP,0.005978339760705274,,ridge
2025-08,79866,,,0.019811700866988084,,ridge
2025-08,84041,,,0.019811700866988084,,ridge
2025-08,85372,,,0.019811700866988084,,ridge
2025-09,19502,,,0.017063286266910532,,ridge
2025-10,81593,COOP,MR COOPER GROUP INC,-0.00873397759195552,,ridge
2025-12,21120,,,0.019250251522012925,,ridge
2025-12,14169,,,0.019250251522012925,,ridge
2026-01,86827,,,0.015513441181864982,,ridge
2026-01,92143,,,0.015513441181864982,,ridge
2026-02,83822,,,0.017006687155503256,,ridge
2026-03,90029,,,0.019182164155210967,,ridge
2026-04,88863,,,0.016862840652883265,,ridge
2026-07,92220,,,0.017270137448607968,,ridge
2026-07,93035,,,0.017270137448607968,,ridge
2026-07,15285,,,-0.022729862551399485,,ridge
2026-08,14941,,,0.017395663531990607,,ridge
2021-02,92239,,,-0.007415325447528477,,lasso
2021-03,92587,,,-0.01800209479553404,,lasso
2021-03,92229,,,-0.01800209479553404,,lasso
2021-05,12089,,,0.018135324673063308,,lasso
2021-05,12374,,,0.01419466086649824,,lasso
2021-05,93393,,,-0.01865497985414217,,lasso
2021-05,91900,,,-0.01865497985414217,,lasso
2021-07,11992,,,0.010431755329189196,,lasso
2021-09,11896,,,0.009915992062529433,,lasso
2021-12,93079,,,-0.01778652713944877,,lasso
2021-12,92523,,,-0.00870537971626015,,lasso
2021-12,91854,,,-0.01778652713944877,,lasso
2022-02,92506,GTS,TRIPLE S MANAGEMENT CORP,-0.018576920607760304,,lasso
2022-04,93175,,,-0.017454607904771838,,lasso
2022-07,10909,,,0.02048145593790831,,lasso
2022-08,11343,,,0.017082307301683152,,lasso
2022-12,91983,,,-0.01916415276491641,,lasso
2023-02,21731,,,0.017692973184312115,,lasso
2023-02,20899,KNBE,KNOWBE4 INC,0.017692973184312115,,lasso
2023-03,12437,RFP,RESOLUTE FOREST PRODUCTS INC,0.01871512759417758,,lasso
2023-03,19177,,,0.007228942467919756,,lasso
2023-06,19660,,,0.019747815294562748,,lasso
2023-10,19989,,,0.01799925548443877,,lasso
2023-11,87268,,,0.009696707170274375,,lasso
2023-11,21967,,,0.017893239005878178,,lasso
2023-12,82542,,,0.01928747635973032,,lasso
2024-01,81696,DISH,DISH NETWORK CORP,-0.0046361755872634716,,lasso
2024-04,14691,,,-0.019283569838670273,,lasso
2024-07,22115,,,0.020689337500211256,,lasso
2024-10,18566,,,0.02057967312816153,,lasso
2024-11,21897,,,0.014335157945668918,,lasso
2024-11,21121,,,0.02019791656841756,,lasso
2024-12,11370,,,0.02048499809702151,,lasso
2024-12,20834,LBPH,LONGBOARD PHARMACEUTICALS INC,-0.019446769882490347,,lasso
2025-02,39693,,,0.01772779100678121,,lasso
2025-03,92095,,,0.018790830169598947,,lasso
2025-05,90716,,,0.020518900317949576,,lasso
2025-06,91080,HEES,H & E EQUIPMENT SERVICES INC,0.020263163841361603,,lasso
2025-07,90885,EVRI,EVERI HOLDINGS INC,0.02051248462637998,,lasso
2025-08,79866,,,0.019847367822074455,,lasso
2025-08,84041,,,0.019847367822074455,,lasso
