model,year,months,gross_return,net_return_20bps,benchmark_return,sp500_price_return
ols,2021,12,-0.015930618059106227,-0.04062290931488877,0.041199767988699065,0.2689273629085722
ols,2022,12,0.31768461150941896,0.287343326692177,0.06189728648438009,-0.19442824232404154
ols,2023,12,0.11570964731929134,0.08625487747346194,0.0945486520190637,0.24230498762859742
ols,2024,12,-0.07742423657872632,-0.10088943477214085,0.09344448142492667,0.23309006819949585
ols,2025,12,0.11095854840653585,0.08290994350319436,0.08371673078523023,0.1638780406111915
ols,2026,8,0.09063790630709478,0.07313727128130765,0.05206543267515329,0.12280184062522803
ridge,2021,12,0.49051102362811405,0.46266223784005844,0.041199767988699065,0.2689273629085722
ridge,2022,12,0.5079417020021411,0.48131983649649923,0.06189728648438009,-0.19442824232404154
ridge,2023,12,0.10647985637082602,0.07579650609363409,0.0945486520190637,0.24230498762859742
ridge,2024,12,-0.08589807581007491,-0.1106197454549821,0.09344448142492667,0.23309006819949585
ridge,2025,12,0.10795599847133475,0.08285104927329279,0.08371673078523023,0.1638780406111915
ridge,2026,8,0.09189694292562445,0.07311835272867317,0.05206543267515329,0.12280184062522803
lasso,2021,12,0.00728870163401818,-0.00815650665180967,0.041199767988699065,0.2689273629085722
lasso,2022,12,0.04495310993016122,0.03213524694067593,0.06189728648438009,-0.19442824232404154
lasso,2023,12,0.04502617304052636,0.011628606450196477,0.0945486520190637,0.24230498762859742
lasso,2024,12,0.023283242854538866,-0.0041512736481298385,0.09344448142492667,0.23309006819949585
lasso,2025,12,0.12237686924410895,0.09461180919203938,0.08371673078523023,0.1638780406111915
lasso,2026,8,0.12604901594756335,0.1068698301159241,0.05206543267515329,0.12280184062522803
en,2021,12,0.00728870163401818,-0.00815650665180967,0.041199767988699065,0.2689273629085722
en,2022,12,0.04495310993016122,0.03213524694067593,0.06189728648438009,-0.19442824232404154
en,2023,12,0.13007583083329743,0.09574085252873532,0.0945486520190637,0.24230498762859742
en,2024,12,-0.04635206560554417,-0.07064955991539501,0.09344448142492667,0.23309006819949585
en,2025,12,0.1321983729553189,0.10399191743732605,0.08371673078523023,0.1638780406111915
en,2026,8,0.12109461053529103,0.10170496928388428,0.05206543267515329,0.12280184062522803
gbm_missing,2021,12,0.2963051654693707,0.26427402013447177,0.041199767988699065,0.2689273629085722
gbm_missing,2022,12,0.3438233691515724,0.3053638221156041,0.06189728648438009,-0.19442824232404154
gbm_missing,2023,12,-0.0020060098696398354,-0.03413950157259249,0.0945486520190637,0.24230498762859742
gbm_missing,2024,12,-0.05108366085090421,-0.08248666501647706,0.09344448142492667,0.23309006819949585
gbm_missing,2025,12,-0.02286385262096824,-0.051539937528428226,0.08371673078523023,0.1638780406111915
gbm_missing,2026,8,0.004144672242511138,-0.019009560480885312,0.05206543267515329,0.12280184062522803
gbm_median,2021,12,-0.11463872717212786,-0.13409178935409471,0.041199767988699065,0.2689273629085722
gbm_median,2022,12,-0.028565346067479513,-0.05321474307238583,0.06189728648438009,-0.19442824232404154
gbm_median,2023,12,0.16026454245491095,0.1317894963674644,0.0945486520190637,0.24230498762859742
gbm_median,2024,12,-0.04810056616545877,-0.0774037521218155,0.09344448142492667,0.23309006819949585
gbm_median,2025,12,-0.020514398548531432,-0.056448465961211336,0.08371673078523023,0.1638780406111915
gbm_median,2026,8,-0.020791866987068808,-0.0501267534278681,0.05206543267515329,0.12280184062522803
gbm_median_matched,2021,12,0.10779475269601568,0.08164635676652399,0.041199767988699065,0.2689273629085722
gbm_median_matched,2022,12,0.11847274187978729,0.09121510414703371,0.06189728648438009,-0.19442824232404154
gbm_median_matched,2023,12,0.15677082790879426,0.12879581992824596,0.0945486520190637,0.24230498762859742
gbm_median_matched,2024,12,-0.11054170328210655,-0.1375771066083613,0.09344448142492667,0.23309006819949585
gbm_median_matched,2025,12,0.06125629457231674,0.025094746788943745,0.08371673078523023,0.1638780406111915
gbm_median_matched,2026,8,-0.004979343207420883,-0.029656590677107575,0.05206543267515329,0.12280184062522803
annual_blend,2021,12,0.043121223851053214,0.018632387296737996,0.041199767988699065,0.2689273629085722
annual_blend,2022,12,0.40369913571807614,0.3754202873246997,0.06189728648438009,-0.19442824232404154
annual_blend,2023,12,0.15379565505557014,0.12117327741736239,0.0945486520190637,0.24230498762859742
annual_blend,2024,12,-0.08141319353566046,-0.11060611852035362,0.09344448142492667,0.23309006819949585
annual_blend,2025,12,0.056551883309308604,0.027606210473000603,0.08371673078523023,0.1638780406111915
annual_blend,2026,8,0.11003539100413384,0.09053757862703526,0.05206543267515329,0.12280184062522803
