target_month,cash,hurdle,market,total_gross,long_contribution,short_contribution,gross,net,n,max_weight,missing_n,missing_gross,traded_0,total_0,traded_10,total_10,traded_20,total_20,traded_30,total_30,traded_50,total_50,adverse_missing_total_20,model
2021-01,6.666666666666667e-05,0.0034,-0.0111366401584636,-0.11513150908872487,0.02017293473344679,-0.13537111048883835,2.0,-0.13372489217496364,200,0.021337248921749638,2,0.029628090928311458,2.0,-0.11513150908872487,2.0,-0.11713150908872487,2.0,-0.11913150908872487,2.0,-0.12113150908872487,2.0,-0.12513150908872486,-0.14875960001703634,ols
2021-02,3.3333333333333335e-05,0.0033666666666666,0.0260914749719998,-0.027770866288448295,0.05389057608762921,-0.08169477570941083,1.9999999999999998,-0.1725121307014703,200,0.0217251213070147,1,0.01595006147255999,1.0375816658791206,-0.027770866288448295,1.0406241744771765,-0.02881149046292547,1.0437823399438206,-0.029858430968335938,1.046970408745273,-0.030911777514684113,1.0533902750068442,-0.033037817663482516,-0.04580849244089592,ols
2021-03,2.5e-05,0.0033583333333333,0.0424386340081077,0.02876215517883508,0.022832404642489333,0.005904750536345739,2.0000000000000004,-0.17615994353154507,200,0.02176159943531546,0,0.0,0.9068577488074135,0.02876215517883508,0.9076703536024658,0.027854484825232614,0.9084906867927709,0.026945173805249537,0.9093360588443882,0.026034147002301916,0.9111067569250926,0.024206621394209617,0.026945173805249537,ols
2021-04,1.6666666666666667e-05,0.00335,0.0524253125558473,0.022657425172045303,0.03078914622486518,-0.008148387719486545,2.0,-0.08337725729565493,200,0.02083377257295655,1,0.02083377257295655,1.2497674589925416,0.022657425172045303,1.250467575582952,0.021406957596462352,1.2511701986346804,0.02015508477477594,1.251875396379309,0.018901798982907378,1.2532938100572661,0.016390956121758973,-0.0006786877981806091,ols
2021-05,1.6666666666666667e-05,0.00335,0.0054865025818131,0.03758137210626456,0.01587756563456378,0.021687139805034113,2.0,-0.003697346549710323,200,0.020036973465497106,2,0.03801785381188169,1.0430798215639914,0.03758137210626456,1.0436347939178063,0.03653773731234675,1.0441917527590814,0.0354929886007464,1.044750711163472,0.034447119972774144,1.0458746801149525,0.0323519987056898,-0.002524865211135291,ols
2021-06,3.3333333333333335e-05,0.0033666666666666,0.0222139763231694,-0.032503897477815714,0.004288557291965838,-0.03682578810311489,2.0000000000000004,-0.04782048457928367,200,0.020478204845792842,0,0.0,0.9198208489386419,-0.032503897477815714,0.9200414482520636,-0.03342393892606778,0.9202687240268688,-0.03434443492586945,0.9204967032461526,-0.035265387587554174,0.9209619209701674,-0.03710870708266655,-0.03434443492586945,ols
2021-07,4.1666666666666665e-05,0.003375,0.0227481093659105,0.0033635716049684266,-0.011726346010010586,0.015048250948312348,2.0,-0.024282913964175035,200,0.020242829139641753,1,0.016168795740488698,0.7850916322763657,0.0033635716049684266,0.7859405518578475,0.0025776310531105792,0.7867915096910418,0.0017899885855863428,0.7876445147696376,0.0010006380606595137,0.7893567361424774,-0.0005832120757439598,-0.014378807154902355,ols
2021-08,4.1666666666666665e-05,0.003375,0.0289903213916811,-0.014077327192601113,0.010964069331925378,-0.025083063191193158,2.0,-0.07359174295776505,200,0.020735917429577647,0,0.0,0.9467481490630244,-0.014077327192601113,0.9470252769758121,-0.015024352469576925,0.9473034412427033,-0.01597193407508652,0.9475826479030448,-0.016920075136310248,0.9481442128679985,-0.018818048256941104,-0.01597193407508652,ols
2021-09,3.3333333333333335e-05,0.0033666666666666,-0.0475691404211663,0.029132482598010618,-0.01881506402695262,0.047914213291629905,2.0,-0.06248288883556086,200,0.020624828909770437,0,0.0,0.9877995476145713,0.029132482598010618,0.988067118623797,0.02814441547938682,0.9883353622899729,0.027155811873430673,0.9886109857761354,0.026166649640682212,0.9891803063216243,0.024186581066402497,0.027155811873430673,ols
2021-10,4.1666666666666665e-05,0.003375,0.0691438733012346,-0.030718418383642917,0.029752671703555056,-0.060512756753864624,2.0,-0.05287643234410411,200,0.020528764323441043,0,0.0,0.7892955786359175,-0.030718418383642917,0.7893725862122991,-0.03150779096985522,0.7894497838759642,-0.032297317951394844,0.7895271740311969,-0.033086999905736506,0.7897512817384926,-0.03466717479233538,-0.032297317951394844,ols
2021-11,4.1666666666666665e-05,0.003375,-0.0083337314184714,0.023177837295367546,-0.0468199324928331,0.06995610312153398,2.0,-0.05321716685407685,200,0.020532171668540926,0,0.0,0.8987996699368384,0.023177837295367546,0.8994586806342724,0.022278378614733273,0.9001188956785819,0.021377599504010383,0.9007803188203178,0.020475496338906593,0.9021126783375368,0.01866727390367986,0.021377599504010383,ols
2021-12,5e-05,0.0033833333333333,0.0436128749726298,0.0727246435675703,0.046902386303998955,0.025772257263571345,2.0000000000000004,-0.10091931637464913,200,0.021009193163747053,0,0.0,0.9582671376665773,0.0727246435675703,0.9583521196926097,0.07176629144787769,0.9584373764802783,0.07080776881460975,0.9585229094320751,0.06984907483927408,0.9586948122839162,0.06793116950615072,0.07080776881460975,ols
2022-01,0.000125,0.0034583333333333,-0.0525850891069997,0.08575151776732333,-0.04477688007084684,0.13040339783817015,2.0,-0.21552556948789126,200,0.022155255694881512,1,0.01784474430512109,1.0055579889110842,0.08575151776732333,1.0055923973928131,0.08474592536993052,1.005626873602909,0.08374026402011751,1.0056741798601094,0.082734495227743,1.005843926151657,0.08072229813656505,0.06589551971499642,ols
2022-02,0.000275,0.0036083333333333,-0.0313605208667826,-0.004101027915053858,0.006831222520663512,-0.011207250435717369,1.9999999999999998,0.011672643082972334,200,0.02011672643082972,1,0.02011672643082972,1.201716432476697,-0.004101027915053858,1.2017514482507625,-0.005302779363304621,1.2017865314141216,-0.006504600977882102,1.20182839163915,-0.007706513089971308,1.2019323285466996,-0.010110689557787357,-0.02662132740871182,ols
2022-03,0.0003666666666666,0.0037,0.03577323877328,0.026417593833342252,0.007394366176703382,0.018656560989972273,1.9999999999999998,0.007948373020103316,200,0.020079483730201034,0,0.0,1.0272343013855378,0.026417593833342252,1.0277173971167641,0.02538987643622549,1.028201689880798,0.024361190453580657,1.0286871923523142,0.02333153225628531,1.0296618773939121,0.02126928444637269,0.024361190453580657,ols
